source,target,note
"/","/","Homepage"
"/abb-partnership","/about/abb/","ABB Partnership"
"/about","/about/","About"
"/amp8","/industries/water/","AMP8 → Water (or create dedicated page)"
"/assets/electric-submersible-pumps","/platform/what-we-monitor/esps/","ESPs asset page"
"/blog/3-reasons-why-sam4-best-tool-hot-strip-mill-availability","/resources/blog/3-reasons-why-sam4-best-tool-hot-strip-mill-availability/","Blog: 3 reasons why SAM4 is the best tool to improve the availabil"
"/blog/acoustic-emission-analysis","/resources/blog/acoustic-emission-analysis/","Blog: Acoustic Emission Analysis (Everything You Need To Know)"
"/blog/airlock-in-water-pumps-the-silent-polluter","/resources/blog/airlock-in-water-pumps-the-silent-polluter/","Blog: Airlock in water pumps: the silent polluter"
"/blog/best-key-performance-indicators-for-every-industrial-maintenance-team","/resources/blog/best-key-performance-indicators-for-every-industrial-maintenance-team/","Blog: Best key performance indicators for every industrial mainten"
"/blog/better-together","/resources/blog/better-together/","Blog: Humans and machines: Better together"
"/blog/combined-sewer-overflows-part1","/resources/blog/combined-sewer-overflows-part1/","Blog: How can water companies reduce storm overflow discharges? (P"
"/blog/combined-sewer-overflows-part2","/resources/blog/combined-sewer-overflows-part2/","Blog: How can water companies reduce storm overflow discharges? (P"
"/blog/combined-sewer-overflows-part3","/resources/blog/combined-sewer-overflows-part3/","Blog: How can water companies reduce storm overflow discharges? (P"
"/blog/condition-based-maintenance","/resources/blog/condition-based-maintenance/","Blog: Condition-based maintenance: The 5 step guide"
"/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-1-plan","/resources/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-1-plan/","Blog: Condition-based maintenance: from pilot to scaling (Part 1: "
"/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-2-people","/resources/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-2-people/","Blog: Condition-based maintenance: from pilot to scaling (Part 2: "
"/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-3-process","/resources/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-3-process/","Blog: Condition-based maintenance: from pilot to scaling (Part 3: "
"/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-4-technology","/resources/blog/condition-based-maintenance-pilot-to-implementation-at-scale-part-4-technology/","Blog: Condition-based maintenance: from pilot to scaling (Part 4: "
"/blog/condition-monitoring-guide-to-the-5-major-technologies","/resources/blog/condition-monitoring-guide-to-the-5-major-technologies/","Blog: Condition monitoring: Guide to the 5 major technologies"
"/blog/condition-monitoring-in-wind-turbines-advantages-of-mcsa","/resources/blog/condition-monitoring-in-wind-turbines-advantages-of-mcsa/","Blog: Condition monitoring in wind turbines (Video)"
"/blog/expert-interview-dirk-jan-wienen-condition-based-maintenance-water-industry","/resources/blog/expert-interview-dirk-jan-wienen-condition-based-maintenance-water-industry/","Blog: Expert interview: Dirk-Jan Wienen talks about condition-base"
"/blog/find-remote-pump-monitoring-system","/resources/blog/find-remote-pump-monitoring-system/","Blog: How to find a remote monitoring system for your pump?"
"/blog/improve-hot-strip-mill-maintenance-strategy","/resources/blog/improve-hot-strip-mill-maintenance-strategy/","Blog: How to improve your hot strip mill maintenance strategy thro"
"/blog/maximize-electric-motor-reliability-and-life","/resources/blog/maximize-electric-motor-reliability-and-life/","Blog: Looking to maximize electric motor reliability and life? Her"
"/blog/motor-current-signature-analysis","/resources/blog/motor-current-signature-analysis/","Blog: Motor Current Signature Analysis (What And How?)"
"/blog/oil-analysis-condition-monitoring","/resources/blog/oil-analysis-condition-monitoring/","Blog: How is oil analysis used for condition monitoring?"
"/blog/predictive-maintenance-quick-start-guide","/resources/blog/predictive-maintenance-quick-start-guide/","Blog: The quick-start guide to predictive maintenance 4.0"
"/blog/proven-maintenance-strategies-for-industrial-equipment","/resources/blog/proven-maintenance-strategies-for-industrial-equipment/","Blog: 10 proven maintenance strategies for industrial equipment"
"/blog/pump-failure","/resources/blog/top-5-failures-in-pumps-and-how-to-detect-them/","Blog: Pump failure: causes, modes and prevention strategies"
"/blog/reduce-maintenance-costs-for-your-wind-farm","/resources/blog/reduce-maintenance-costs-for-your-wind-farm/","Blog: How to reduce maintenance costs for your wind farm"
"/blog/remote-condition-monitoring-borehole-pumps","/resources/blog/secure-water-supply-drought-season-condition-monitoring-borehole-pumps/","Blog: Remote condition monitoring on borehole pumps in dry periods"
"/blog/remote-condition-monitoring-pumps","/resources/blog/remote-condition-monitoring-pumps/","Blog: Remote condition monitoring for submersible pumps"
"/blog/sam4s-hardware-architect-talks-about-medium-voltage-monitoring","/resources/blog/sam4s-hardware-architect-talks-about-medium-voltage-monitoring/","Blog: SAM4's hardware architect talks about medium-voltage monitor"
"/blog/should-you-use-vibration-analysis-condition-monitoring","/resources/blog/should-you-use-vibration-analysis-condition-monitoring/","Blog: Using vibration analysis for condition monitoring"
"/blog/smart-sewers-detect-pumping-station-blockages","/resources/blog/smart-sewers-detect-pumping-station-blockages/","Blog: Smarter sewers: Detecting pumping station blockages with rea"
"/blog/smart-sewers-proactive-maintenance","/resources/blog/smart-sewers-proactive-maintenance/","Blog: Smarter sewers: Cut costs while reducing machine failure wit"
"/blog/software-to-cut-energy-and-emissions-in-the-steel-chemical-and-cement-industries","/resources/blog/software-to-cut-energy-and-emissions-in-the-steel-chemical-and-cement-industries/","Blog: Using software to cut energy and emissions in the steel, che"
"/blog/thermal-analysis-condition-monitoring","/resources/blog/thermal-analysis-condition-monitoring/","Blog: The role of thermal analysis in condition monitoring"
"/blog/ways-to-cut-pump-energy-costs-using-real-time-data","/resources/blog/ways-to-cut-pump-energy-costs-using-real-time-data/","Blog: Four quick ways to cut pump energy costs using real-time dat"
"/blog/what-causes-sewage-pumping-stations-to-overflow-how-to-fix","/resources/blog/what-causes-sewage-pumping-stations-to-overflow-how-to-fix/","Blog: What causes sewage pumping stations to overflow (and how can"
"/blog/what-is-condition-monitoring","/resources/blog/what-is-condition-monitoring/","Blog: What is condition monitoring? (The 2025 guide)"
"/case-studies/aeration-blowers-energy-waste-reduction-case-study","/proof/case-studies/aeration-blowers-energy-waste-reduction-case-study/","Case studies: Control change would reduce aeration blowers’ energy cost by"
"/case-studies/avoid-sewage-water-pump-pollution-event-case-study","/proof/case-studies/alert-prevents-pollution-event-and-saves-eur-100k/","Case studies: Alert prevents pollution event and saves EUR 100k"
"/case-studies/booster-pump-energy-optimization-case-study","/proof/case-studies/booster-pump-energy-optimization-case-study/","Case studies: Hydraulically rerating an existing booster pump station to r"
"/case-studies/case-study-steel-loose-cardan-joint-caught-same-day-sam4-installed","/proof/case-studies/loose-cardan-joint-caught-the-same-day-sam4-was-installed/","Case studies: Loose cardan joint caught the same day SAM4 was installed"
"/case-studies/case-study-steel-runout-table-cardan-shaft-coupling","/proof/case-studies/case-study-steel-runout-table-cardan-shaft-coupling/","Case studies: Early warning on failing cardan shaft coupling in runout tab"
"/case-studies/case-study-steel-runout-table-roll-bearing","/proof/case-studies/case-study-steel-runout-table-roll-bearing/","Case studies: Bearing failure avoided in motor driving critical runout tab"
"/case-studies/common-faults-steel-manufacturing","/proof/case-studies/common-faults-steel-manufacturing/","Case studies: 9x common faults detected in steel manufacturing"
"/case-studies/condition-monitoring-anolyte-pump-detecting-cavitation","/proof/case-studies/condition-monitoring-for-anolyte-pumps-a-case-study/","Case studies: Condition monitoring for anolyte pumps: a case study"
"/case-studies/condition-monitoring-centrifugal-pump","/proof/case-studies/condition-monitoring-centrifugal-pump/","Case studies: Condition monitoring for centrifugal pumps: a case study"
"/case-studies/condition-monitoring-circulator-pump-misalignment-gearbox","/proof/case-studies/condition-monitoring-circulator-pump-misalignment-gearbox/","Case studies: Condition monitoring for circulator pumps: a case study"
"/case-studies/condition-monitoring-cooling-pump-misalignment-unbalance","/proof/case-studies/condition-monitoring-cooling-pump-misalignment-unbalance/","Case studies: Condition monitoring for cooling pumps: a case study"
"/case-studies/condition-monitoring-oil-transfer-pump","/proof/case-studies/condition-monitoring-oil-transfer-pump/","Case studies: Condition monitoring for oil transfer pumps: a case study"
"/case-studies/condition-monitoring-shot-blasting-machine","/proof/case-studies/condition-monitoring-shot-blasting-machine/","Case studies: Condition monitoring for shot blasting machines: a case stud"
"/case-studies/condition-monitoring-wastewater-pump-detect-clogging","/proof/case-studies/condition-monitoring-wastewater-pump-detect-clogging/","Case studies: Condition monitoring for wastewater pumps: a case study"
"/case-studies/heated-godet-roll-fault-detection-case-study","/proof/case-studies/heated-godet-roll-fault-detection-case-study/","Case studies: Early warning of failing heated godet roll prevents $90k in "
"/case-studies/hot-strip-mill-degrading-rollers","/proof/case-studies/hot-strip-mill-degrading-rollers/","Case studies: 16x early alerts to degrading rollers save €650k in lost pro"
"/case-studies/how-arcelormittal-prevented-31-hours-of-downtime-by-detecting-27-failures-ahead-of-time","/proof/case-studies/how-arcelormittal-prevented-31-hours-of-downtime-by-detecting-27-failures-ahead-of-time/","Case studies: How ArcelorMittal prevented 31 hours of downtime by detectin"
"/case-studies/how-schipol-airport-improved-reliability-of-its-current-baggage-handling-lines","/proof/case-studies/schiphol-success-story-2/","Case studies: How Schiphol Airport improved the reliability of its baggage"
"/case-studies/how-vitens-increased-operational-efficiency-by-7-through-real-time-asset-measurements","/proof/case-studies/how-vitens-increased-operational-efficiency-by-7-through-real-time-asset-measurements/","Case studies: How Vitens increased operational efficiency by 7% through re"
"/case-studies/how-zinc-smelter-nyrstar-got-800-roi-in-11-months","/proof/case-studies/how-zinc-smelter-nyrstar-got-800-roi-in-11-months/","Case studies: How zinc smelter Nyrstar got 800% ROI in 11 months"
"/case-studies/identifying-and-fixing-a-broken-sine-wave-filter-in-electric-submersible-pumps","/proof/case-studies/identifying-and-fixing-a-broken-sine-wave-filter-in-electric-submersible-pumps/","Case studies: Identifying and fixing a broken sine wave filter in electric"
"/case-studies/improving-baggage-handling-reliability-at-london-stansted","/proof/case-studies/improving-baggage-handling-reliability-at-london-stansted/","Case studies: Improving baggage handling reliability at London Stansted"
"/case-studies/improving-submersible-pump-efficiency-at-sabesp","/proof/case-studies/improving-submersible-pump-efficiency-at-sabesp/","Case studies: Improving submersible pump efficiency at Sabesp"
"/case-studies/oxidation-ditch-rotor-fault-detection-case-study","/proof/case-studies/oxidation-ditch-rotor-fault-detection-case-study/","Case studies: Early alerts on a degrading oxidation ditch rotor prevent tw"
"/case-studies/prevent-exhaust-fan-failure-in-wood-manufacturing-case-study","/proof/case-studies/prevent-exhaust-fan-failure-in-wood-manufacturing-case-study/","Case studies: Six early alerts to degrading fans save up to 12 hours and €"
"/case-studies/preventing-downtime-on-belt-driven-equipment","/proof/case-studies/preventing-downtime-on-belt-driven-equipment/","Case studies: Preventing downtime on belt-driven equipment"
"/case-studies/preventing-downtime-on-borehole-pumps","/proof/case-studies/preventing-downtime-on-borehole-pumps/","Case studies: Preventing downtime on borehole pumps"
"/case-studies/preventing-failure-in-wastewater-inlet-screws","/proof/case-studies/preventing-failure-in-wastewater-inlet-screws/","Case studies: Preventing failure in wastewater inlet screws"
"/case-studies/prevention-of-pollution-event-by-degrading-screw-pump-belt","/proof/case-studies/two-pollution-events-prevented-and-eur-840k-saved-on-repairs-and-emergency-mitigation/","Case studies: Two pollution events prevented and EUR 840k saved on repairs"
"/case-studies/reducing-wastewater-inlet-station-energy-costs","/proof/case-studies/reducing-wastewater-inlet-station-energy-costs/","Case studies: Wastewater inlet station energy cost reduced by €42k per yea"
"/case-studies/rightsizing-booster-pumps-to-save-wasted-energy","/proof/case-studies/rightsizing-booster-pumps-to-save-wasted-energy/","Case studies: Rightsizing booster pumps to save €121k a year in wasted ene"
"/case-studies/samotics-identifies-a-blockage-outside-of-the-pump","/proof/case-studies/yorkshire-water-external-clogging-detection-case/","Case studies: Samotics' clogging detection technology identifies a blockag"
"/case-studies/southern-waters-success-story-preventing-3-failures-saving-748k-and-ensuring-resilience","/proof/case-studies/southern-waters-success-story-preventing-3-failures-saving-748k-and-ensuring-resilience/","Case studies: Southern Water’s success story: preventing three failures, s"
"/case-studies/yorkshire-water-avoid-potential-fines-with-samotics","/proof/case-studies/how-yorkshire-water-saved-390k-in-potential-fine-with-samotics/","Case studies: How Yorkshire Water saved £390k in potential fines"
"/case-studies/yorkshire-water-case-study-preventing-pollution","/proof/case-studies/yorkshire-water-case-study-preventing-pollution/","Case studies: Early alerts prevent a potential pollution event and save ~€"
"/contact","/contact/","Contact"
"/demo","/contact/","Demo → Contact (or create /demo/)"
"/events/meet-samotics-at-global-water-summit-2026","/events/meet-samotics-at-global-water-summit-2026/","Events: Meet Samotics at Global Water Summit 2026"
"/events/meet-samotics-at-maintec-2026-in-birmingham","/events/meet-samotics-at-maintec-2026-in-birmingham/","Events: Meet Samotics at Maintec 2026 in Birmingham"
"/events/meet-samotics-at-spe-europe-subsurface-conference","/events/meet-samotics-at-spe-europe-subsurface-conference/","Events: Meet Samotics at SPE Europe Subsurface Conference"
"/events/meet-samotics-at-utility-week-live-2026","/events/meet-samotics-at-utility-week-live-2026/","Events: Meet Samotics at Utility Week Live 2026"
"/events/meet-samotics-at-world-water-tech-innovation-summit-2026-in-london","/events/meet-samotics-at-world-water-tech-innovation-summit-2026-in-london/","Events: Meet Samotics at World Water-Tech Innovation Summit 2026 in "
"/features/sewage-pump-blockage-detection","/platform/sam4/","Feature → SAM4 Platform"
"/four-levels-of-features","/platform/sam4/","Features canvas → SAM4"
"/industries/airports","/industries/","Airports → Industries hub"
"/industries/cement","/industries/","Cement → Industries hub (no dedicated page)"
"/industries/chemicals","/industries/chemicals/","Chemicals"
"/industries/clean-water","/industries/water/","Clean Water → Water"
"/industries/mining","/industries/metals-mining/","Mining → Metals & Mining"
"/industries/oil-gas","/industries/oil-gas/","Oil & Gas"
"/industries/pulp-paper","/industries/pulp-paper/","Pulp & Paper"
"/industries/steel","/industries/metals-mining/","Steel → Metals & Mining (merged)"
"/industries/wastewater","/industries/water/","Wastewater → Water (merged)"
"/industries/wind-energy","/industries/","Wind Energy → Industries hub"
"/kb/business-case-predictive-maintenance","/resources/blog/business-case-predictive-maintenance/","Knowledge base: How to build a business case for predictive maintenance in m"
"/kb/condition-monitoring-comparison-guide","/resources/blog/condition-monitoring-comparison-guide/","Knowledge base: Condition monitoring: 5 technologies to prevent machine fail"
"/kb/drive-train-insights-using-electric-motor-as-vibration-sensor","/resources/blog/drive-train-insights-using-electric-motor-as-vibration-sensor/","Knowledge base: How motor current signature analysis transforms condition mo"
"/kb/electrical-signature-analysis","/resources/blog/what-is-electrical-signature-analysis-esa/","Knowledge base: Electrical Signature Analysis explained (the right way)"
"/kb/feature-overview","/resources/blog/feature-overview/","Knowledge base: Maximizing efficiency and sustainability: Key features of SA"
"/kb/how-sam4-detects-developing-faults-in-industrial-pumps","/resources/blog/how-sam4-detects-developing-faults-in-industrial-pumps/","Knowledge base: How SAM4 detects developing faults in industrial pumps"
"/kb/improving-energy-efficiency-in-the-water-industry","/resources/blog/improving-energy-efficiency-in-the-water-industry/","Knowledge base: The path to Net Zero: improving energy efficiency in the wat"
"/kb/sam4-for-conveyors","/resources/blog/sam4-for-conveyors/","Knowledge base: How SAM4 helps prevent belt conveyor failures"
"/kb/sam4-health-in-water","/resources/blog/sam4-health-in-water/","Knowledge base: Achieving resilience & energy efficiency with SAM4 analytics"
"/kb/sam4-pump-blockage-detection-explained","/resources/blog/sam4-pump-blockage-detection-explained/","Knowledge base: SAM4 pump blockage detection explained"
"/kb/sam4-real-time-pump-curve","/resources/blog/sam4-real-time-pump-curve-2/","Knowledge base: SAM4 real-time pump curve explainer"
"/kb/sam4-sustainable-industry","/resources/blog/sam4-sustainable-industry/","Knowledge base: How SAM4 supports a sustainable industrial future with the E"
"/news/abb-launches-drive-with-esa-from-samotics","/news/abb-launches-drive-with-esa-from-samotics/","News: ABB launches drives embedded with ESA technology from Samoti"
"/news/abb-samotics-partnership","/news/abb-samotics-partnership/","News: ABB partners with Samotics to expand its condition monitorin"
"/news/accurate-energy-insights-with-calibrated-pump-performance","/news/accurate-energy-insights-with-calibrated-pump-performance/","News: Accurate energy insights with calibrated pump performance"
"/news/anglian-water-awards-samotics-5-year-deal","/news/anglian-water-awards-samotics-5-year-deal/","News: Anglian Water awards Samotics five-year deal to support oper"
"/news/announcing-the-integration-of-sam4-into-abbs-variable-frequency-drives","/news/announcing-the-integration-of-sam4-into-abbs-variable-frequency-drives/","News: Announcing the integration of SAM4, Samotics’ Electrical Sig"
"/news/edge-analytics","/news/edge-analytics/","News: Samotics brings data analytics to the edge to support custom"
"/news/energy-analytics-launch-announcement","/news/energy-analytics-launch-announcement/","News: Samotics launches Energy Analytics to help customers realize"
"/news/eviden-announces-a-joint-asset-performance-management-solution-with-samotics-for-energy-utilities-industries","/news/eviden-announces-a-joint-asset-performance-management-solution-with-samotics-for-energy-utilities-industries/","News: Eviden announces a joint asset performance management soluti"
"/news/extend-pump-lifespan-with-real-time-pump-curve","/news/extend-pump-lifespan-with-real-time-pump-curve/","News: Extend pump lifespan and save energy with SAM4’s new real-ti"
"/news/introducing-asset-map-feature","/news/introducing-asset-map-feature/","News: Introducing: Asset Map feature"
"/news/introducing-samotics-semiotic-labs-rebrands-and-announces-new-investment","/news/introducing-samotics-semiotic-labs-rebrands-and-announces-new-investment/","News: Introducing Samotics: Semiotic Labs rebrands and announces n"
"/news/london-stansted-airport-and-samotics-collaboration-announcement","/news/london-stansted-airport-and-samotics-collaboration-announcement/","News: London Stansted Airport selects Samotics to increase reliabi"
"/news/new-failure-detection-capability-for-archimedes-screw-pumps","/news/new-failure-detection-capability-for-archimedes-screw-pumps/","News: New failure detection capability for Archimedes screw pumps"
"/news/new-incident-page-design-for-improved-usability","/news/new-incident-page-design-for-improved-usability/","News: New incident page design for improved usability"
"/news/northern-ireland-water-expands-asset-monitoring-program-with-ai-technology-from-samotics","/news/northern-ireland-water-expands-asset-monitoring-program-with-ai-technology-from-samotics/","News: Northern Ireland Water expands asset monitoring program with"
"/news/partnering-with-leading-italian-water-utility-gruppo-smat","/news/partnering-with-leading-italian-water-utility-gruppo-smat/","News: Partnering with leading Italian water utility Gruppo SMAT"
"/news/sam4-platform-update","/news/sam4-platform-update/","News: Samotics launches SAM4 platform 2.0"
"/news/samotics-and-yorkshire-water-win-the-digital-transformation-award-at-the-2025-utility-week-awards","/news/samotics-and-yorkshire-water-win-the-digital-transformation-award-at-the-2025-utility-week-awards/","News: Samotics and Yorkshire Water win the Digital Transformation "
"/news/samotics-asset-deal-southern-water","/news/samotics-asset-deal-southern-water/","News: Samotics signs £7m asset monitoring deal with Southern Water"
"/news/samotics-completes-series-a-funding-round-to-lead-fight-against-industrial-energy-waste","/news/samotics-completes-series-a-funding-round-to-lead-fight-against-industrial-energy-waste/","News: Samotics completes Series A funding round to lead fight agai"
"/news/samotics-extends-sam4-to-support-medium-and-high-voltage-motors","/news/samotics-extends-sam4-to-support-medium-and-high-voltage-motors/","News: Samotics extends SAM4 to support medium and high-voltage mot"
"/news/samotics-partners-in-performance-collaboration-announcement","/news/samotics-partners-in-performance-collaboration-announcement-2/","News: Samotics & Partners in Performance partner to scale the glob"
"/news/samotics-partners-with-chiles-largest-water-utility-aguas-andinas","/news/samotics-partners-with-chiles-largest-water-utility-aguas-andinas/","News: Samotics partners with Chile’s largest water utility Aguas A"
"/news/samotics-reduces-industrial-costs-and-co2-emissions-with-new-energy-efficiency-solution","/news/samotics-reduces-industrial-costs-and-co2-emissions-with-new-energy-efficiency-solution/","News: Samotics reduces industrial costs and CO2 emissions with new"
"/news/samotics-secures-20-million-eib-financing","/news/samotics-secures-20-million-eib-financing/","News: Samotics secures €20 million EIB financing"
"/news/samotics-welcomes-jeroen-van-der-veer-as-an-advisor","/news/samotics-welcomes-jeroen-van-der-veer-as-an-advisor/","News: Samotics welcomes Jeroen van der Veer as an advisor"
"/news/say-hello-to-samotics","/news/say-hello-to-samotics/","News: A message from our CEO Jasper Hoogeweegen"
"/news/schneider-electric-and-samotics-announce-partnership","/news/schneider-electric-and-samotics-announce-partnership/","News: Schneider Electric and Samotics announce partnership"
"/news/seed-group-samotics-partnership","/news/seed-group-samotics-partnership/","News: Seed Group and Samotics partner to bring condition monitorin"
"/news/siemens-enhances-nxpower-monitor-with-samotics-technology","/news/siemens-enhances-nxpower-monitor-with-samotics-technology/","News: Siemens enhances NXpower Monitor with AI-driven electrical s"
"/news/south-east-water-deploys-sam4","/news/south-east-water-deploys-sam4/","News: South East Water selects Samotics to optimize asset performa"
"/news/thames-water-selects-samotics-as-long-term-predictive-maintenance-partner","/news/thames-water-selects-samotics-as-long-term-predictive-maintenance-partner/","News: Thames Water selects Samotics as long-term predictive mainte"
"/news/thyssenkrupp-samotics-collaboration-announcement","/news/thyssenkrupp-samotics-collaboration-announcement/","News: thyssenkrupp selects Samotics to increase reliability of its"
"/news/united-utilities-trials-samotics-ai-based-smart-monitoring-system","/news/united-utilities-trials-samotics-ai-based-smart-monitoring-system-to-optimize-pump-efficiency-and-reliability/","News: United Utilities trials Samotics’ AI-based smart monitoring "
"/news/vitens-improves-pump-efficiency-with-samotics","/news/vitens-improves-pump-efficiency-with-samotics/","News: Vitens improves pump energy efficiency together with Samotic"
"/news/yorkshire-water-awards-10m-contract-to-samotics-to-improve-energy-efficiency-and-operational-resilience-using-real-time-analytics","/news/yorkshire-water-awards-10m-contract-to-samotics-to-improve-energy-efficiency-and-operational-resilience-using-real-time-analytics/","News: Yorkshire Water awards £10M contract to Samotics to improve "
"/partners","/partners/","Partners"
"/pricing","/contact/","Pricing → Contact (decision needed)"
"/privacy-and-cookie-policy","/privacy-policy/","Privacy → split to privacy + cookies"
"/private-tour","/contact/","Private Tour → Contact"
"/product/archimedes-screw-pump-failure-detection","/platform/sam4/","Product feature → SAM4"
"/product/asset-map","/platform/sam4/","Product feature → SAM4"
"/product/asset-reliability-service","/platform/sam4/","Product feature → SAM4"
"/product/predictive-alerts","/platform/sam4/","Product feature → SAM4"
"/product/pump-blockage-detection","/platform/sam4/","Product feature → SAM4"
"/product/reactor-coolant-pump-monitoring","/platform/sam4/","Product feature → SAM4"
"/products/drive-integrated-condition-monitoring","/platform/integrations/","Drive-integrated → Integrations"
"/products/overview","/platform/","Product Overview → Platform"
"/products/sam4","/platform/sam4/","SAM4"
"/products/sam4-energy","/platform/sam4/","SAM4 Energy → SAM4 Platform"
"/products/sam4-health","/platform/sam4/","SAM4 Health → SAM4 Platform"
"/success-stories/yorkshire-water-samotics-success-story","/proof/yorkshire-water-samotics-success-story/","Success stories: Yorkshire Water transform their maintenance and reliability "
"/terms-of-usage","/terms-of-use/","Terms"
"/tour","/contact/","Tour → Contact"
"/use-cases/prevent-pollution","/industries/water/","Pollution use case → Water industry"
"/use-cases/reduce-energy-waste","/industries/energy-efficiency/","Energy use case → Energy Efficiency"
"/use-cases/stop-unplanned-downtime","/problem/","Use case → Problem page (or new page)"
"/webinars/cbm-business-case","/resources/webinars/cbm-business-case/","Webinars: The business case for condition-based maintenance (CBM)"
"/webinars/optimize-your-water-pump-efficiency-through-pump-condition-monitoring","/resources/webinars/optimize-your-water-pump-efficiency-through-pump-condition-monitoring/","Webinars: Optimize your water pump efficiency through pump condition m"
"/webinars/samotics-x-yorkshire-water","/resources/webinars/samotics-x-yorkshire-water/","Webinars: Samotics X Yorkshire Water: Reducing pollution and operation"
"/webinars/smart-asset-management-using-ai","/resources/webinars/smart-asset-management-using-ai/","Webinars: Smart asset management using AI"
"/webinars/smart-asset-management-using-ai-in-italian","/resources/webinars/smart-asset-management-using-ai-in-italian/","Webinars: Smart asset management using AI (in Italian)"
"/webinars/smart-asset-management-using-ai-in-portuguese","/resources/webinars/smart-asset-management-using-ai-in-portuguese/","Webinars: Smart asset management using AI (in Portuguese)"
"/webinars/smart-asset-management-with-ai-in-spanish","/resources/webinars/smart-asset-management-with-ai-in-spanish/","Webinars: Smart asset management with AI (in Spanish)"